Preço das ações:,,,Valor dos dividendos:,,,,,Taxa de câmbio:,
,,,,,,,,,
,,,,,,,,,
Data,Abertura,,Data,Pagamento por papel,,,,Data,Cotação
01/01/93,"12,94",,01/01/93,"0,00",,,,01/01/93,"0,01"
01/02/93,"13,00",,01/02/93,"0,00",,,,01/02/93,"0,01"
01/03/93,"13,69",,01/03/93,"0,54",,,,01/03/93,"0,01"
01/04/93,"12,88",,01/04/93,"0,00",,,,01/04/93,"0,01"
01/05/93,"12,28",,01/05/93,"0,00",,,,01/05/93,"0,01"
01/06/93,"13,31",,01/06/93,"0,54",,,,01/06/93,"0,02"
01/07/93,"12,41",,01/07/93,"0,00",,,,01/07/93,"0,02"
01/08/93,"11,09",,01/08/93,"0,00",,,,01/08/93,"0,03"
01/09/93,"11,44",,01/09/93,"0,25",,,,01/09/93,"0,04"
01/10/93,"10,53",,01/10/93,"0,00",,,,01/10/93,"0,05"
01/11/93,"11,50",,01/11/93,"0,00",,,,01/11/93,"0,07"
01/12/93,"13,69",,01/12/93,"0,25",,,,01/12/93,"0,12"
01/01/94,"14,22",,01/01/94,"0,00",,,,01/01/94,"0,12"
01/02/94,"14,22",,01/02/94,"0,00",,,,01/02/94,"0,20"
01/03/94,"13,22",,01/03/94,"0,25",,,,01/03/94,"0,23"
01/04/94,"13,25",,01/04/94,"0,00",,,,01/04/94,"0,37"
01/05/94,"14,38",,01/05/94,"0,00",,,,01/05/94,"0,52"
01/06/94,"15,75",,01/06/94,"0,25",,,,01/06/94,"0,76"
01/07/94,"14,75",,01/07/94,"0,00",,,,01/07/94,"0,94"
01/08/94,"15,47",,01/08/94,"0,00",,,,01/08/94,"0,94"
01/09/94,"16,72",,01/09/94,"0,25",,,,01/09/94,"0,89"
01/10/94,"17,34",,01/10/94,"0,00",,,,01/10/94,"0,85"
01/11/94,"18,59",,01/11/94,"0,00",,,,01/11/94,"0,84"
01/12/94,"17,66",,01/12/94,"0,25",,,,01/12/94,"0,85"
01/01/95,"18,38",,01/01/95,"0,00",,,,01/01/95,"0,84"
01/02/95,"18,09",,01/02/95,"0,00",,,,01/02/95,"0,84"
01/03/95,"18,78",,01/03/95,"0,25",,,,01/03/95,"0,85"
01/04/95,"20,56",,01/04/95,"0,00",,,,01/04/95,"0,90"
01/05/95,"23,47",,01/05/95,"0,00",,,,01/05/95,"0,92"
01/06/95,"23,38",,01/06/95,"0,25",,,,01/06/95,"0,91"
01/07/95,"24,06",,01/07/95,"0,00",,,,01/07/95,"0,92"
01/08/95,"27,28",,01/08/95,"0,00",,,,01/08/95,"0,93"
01/09/95,"25,69",,01/09/95,"0,25",,,,01/09/95,"0,95"
01/10/95,"23,75",,01/10/95,"0,00",,,,01/10/95,"0,95"
01/11/95,"24,31",,01/11/95,"0,00",,,,01/11/95,"0,96"
01/12/95,"24,25",,01/12/95,"0,25",,,,01/12/95,"0,97"
01/01/96,"22,84",,01/01/96,"0,00",,,,01/01/96,"0,97"
01/02/96,"27,19",,01/02/96,"0,00",,,,01/02/96,"0,98"
01/03/96,"30,41",,01/03/96,"0,25",,,,01/03/96,"0,98"
01/04/96,"28,03",,01/04/96,"0,00",,,,01/04/96,"0,99"
